Year,Item,Area harvested,Laying,Milk Animals,Producing Animals/Slaughtered,Production,Stocks,Yield,Yield/Carcass Weight,PRECTOTCORR_Q1,PRECTOTCORR_Q2,PRECTOTCORR_Q3,PRECTOTCORR_Q4,T2M_MAX_Q1,T2M_MAX_Q2,T2M_MAX_Q3,T2M_MAX_Q4,T2M_MIN_Q1,T2M_MIN_Q2,T2M_MIN_Q3,T2M_MIN_Q4,RH2M_Q1,RH2M_Q2,RH2M_Q3,RH2M_Q4,ALLSKY_SFC_SW_DWN_Q1,ALLSKY_SFC_SW_DWN_Q2,ALLSKY_SFC_SW_DWN_Q3,ALLSKY_SFC_SW_DWN_Q4,ALLSKY_SFC_SW_DWN_ANN,PRECTOTCORR_ANN,RH2M_ANN,T2M_MAX_ANN,T2M_MIN_ANN
2000,Cotton seed,,,,,3650778.0,,,,1.73,1.3900000000000001,1.76,1.2000000000000002,30.83666666666667,46.57,46.38999999999999,32.82666666666666,3.4899999999999998,20.93,26.113333333333333,8.773333333333333,34.03666666666667,19.403333333333336,30.72,23.276666666666667,15.916666666666666,24.689999999999998,20.87,13.183333333333332,18.66,0.51,26.84,48.17,1.16
2000,Wheat,8463000.0,,,,21078600.0,,2490.7,,1.73,1.3900000000000001,1.76,1.2000000000000002,30.83666666666667,46.57,46.38999999999999,32.82666666666666,3.4899999999999998,20.93,26.113333333333333,8.773333333333333,34.03666666666667,19.403333333333336,30.72,23.276666666666667,15.916666666666666,24.689999999999998,20.87,13.183333333333332,18.66,0.51,26.84,48.17,1.16
2001,Cotton seed,,,,,3610400.0,,,,0.76,3.68,6.07,0.45,30.53333333333333,46.596666666666664,44.22,33.38333333333333,5.006666666666667,21.513333333333332,24.826666666666668,10.633333333333333,31.040000000000003,27.893333333333334,39.22,27.233333333333334,16.046666666666667,23.95,21.026666666666667,13.646666666666667,18.67,0.92,31.4,48.91,2.16
2001,Wheat,8180800.0,,,,19023700.0,,2325.4,,0.76,3.68,6.07,0.45,30.53333333333333,46.596666666666664,44.22,33.38333333333333,5.006666666666667,21.513333333333332,24.826666666666668,10.633333333333333,31.040000000000003,27.893333333333334,39.22,27.233333333333334,16.046666666666667,23.95,21.026666666666667,13.646666666666667,18.67,0.92,31.4,48.91,2.16
2002,Cotton seed,,,,,3473600.0,,,,2.17,1.27,1.25,1.33,30.63,47.54333333333333,45.77,33.21333333333333,5.29,20.963333333333335,27.006666666666664,10.466666666666667,33.660000000000004,19.37,28.27,32.29333333333333,15.343333333333334,23.926666666666666,19.766666666666666,13.066666666666668,18.04,0.49,28.36,49.82,2.32
2002,Wheat,8057500.0,,,,18226500.0,,2262.1,,2.17,1.27,1.25,1.33,30.63,47.54333333333333,45.77,33.21333333333333,5.29,20.963333333333335,27.006666666666664,10.466666666666667,33.660000000000004,19.37,28.27,32.29333333333333,15.343333333333334,23.926666666666666,19.766666666666666,13.066666666666668,18.04,0.49,28.36,49.82,2.32
2003,Cotton seed,,,,,3418200.0,,,,1.35,0.28,4.27,0.13,29.83666666666667,46.29666666666666,44.60666666666666,33.37,4.170000000000001,19.32,26.17,9.15,39.403333333333336,18.146666666666665,40.483333333333334,28.86,14.19,24.330000000000002,20.176666666666666,13.62,18.09,0.5,31.67,49.55,3.49
2003,Wheat,8033900.0,,,,19183300.0,,2387.8,,1.35,0.28,4.27,0.13,29.83666666666667,46.29666666666666,44.60666666666666,33.37,4.170000000000001,19.32,26.17,9.15,39.403333333333336,18.146666666666665,40.483333333333334,28.86,14.19,24.330000000000002,20.176666666666666,13.62,18.09,0.5,31.67,49.55,3.49
2004,Cotton seed,,,,,4852900.0,,,,0.8,1.43,5.31,0.6,32.19,45.839999999999996,45.173333333333325,32.02,6.0,22.063333333333333,26.959999999999997,10.123333333333333,35.013333333333335,20.51,34.473333333333336,34.21333333333333,15.713333333333333,23.636666666666667,20.66,12.89,18.22,0.68,31.07,47.42,3.59
2004,Wheat,8216200.0,,,,19499800.0,,2373.3,,0.8,1.43,5.31,0.6,32.19,45.839999999999996,45.173333333333325,32.02,6.0,22.063333333333333,26.959999999999997,10.123333333333333,35.013333333333335,20.51,34.473333333333336,34.21333333333333,15.713333333333333,23.636666666666667,20.66,12.89,18.22,0.68,31.07,47.42,3.59
