-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Latitude  31.3779   Longitude 71.8129 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 166.18 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2000,11.7,16.14,19.91,25.37,24.72,23.98,21.3,21.61,19.7,17.27,11.87,10.41,18.66
ALLSKY_SFC_SW_DWN,2001,11.16,16.46,20.52,23.11,25.17,23.57,21.78,21.36,19.94,16.45,13.56,10.93,18.67
ALLSKY_SFC_SW_DWN,2002,11.73,14.3,20.0,22.81,25.61,23.36,20.55,19.79,18.96,15.69,12.63,10.88,18.04
ALLSKY_SFC_SW_DWN,2003,9.84,14.01,18.72,23.35,25.77,23.87,21.12,20.58,18.83,16.88,13.47,10.51,18.09
ALLSKY_SFC_SW_DWN,2004,10.2,16.23,20.71,22.33,25.32,23.26,21.41,20.84,19.73,15.49,12.24,10.94,18.22
ALLSKY_SFC_SW_DWN,2005,11.38,12.06,18.13,23.73,23.71,25.67,21.48,21.31,19.88,17.12,12.51,11.57,18.24
ALLSKY_SFC_SW_DWN,2006,11.53,14.13,18.83,23.73,23.73,24.12,20.46,20.17,20.13,15.59,11.17,10.43,17.85
ALLSKY_SFC_SW_DWN,2007,12.42,12.42,19.02,24.6,25.59,23.51,21.59,20.61,18.64,17.29,11.69,11.04,18.23
ALLSKY_SFC_SW_DWN,2008,11.7,15.22,20.15,21.95,23.95,21.56,20.85,20.21,19.6,15.54,12.97,10.34,17.84
ALLSKY_SFC_SW_DWN,2009,11.77,15.05,18.39,23.42,25.67,25.63,22.4,20.96,20.31,16.57,11.38,10.62,18.52
ALLSKY_SFC_SW_DWN,2010,9.45,14.22,19.89,23.29,24.84,24.28,20.62,18.74,19.34,15.8,13.37,11.0,17.91
ALLSKY_SFC_SW_DWN,2011,10.86,12.94,19.98,22.84,25.6,23.31,19.81,19.5,18.37,16.79,11.89,11.13,17.78
ALLSKY_SFC_SW_DWN,2012,11.4,15.29,18.89,22.29,25.68,24.88,22.32,19.7,17.37,16.84,12.59,10.54,18.15
ALLSKY_SFC_SW_DWN,2013,11.61,13.21,19.58,21.8,26.25,24.85,21.45,19.49,19.76,15.13,12.43,10.42,18.02
ALLSKY_SFC_SW_DWN,2014,11.52,14.54,18.31,23.0,24.06,25.65,21.43,21.19,19.45,15.56,12.76,9.63,18.1
ALLSKY_SFC_SW_DWN,2015,9.88,13.16,16.57,22.9,25.48,24.05,20.1,19.43,19.7,16.25,12.31,11.01,17.58
ALLSKY_SFC_SW_DWN,2016,10.2,16.0,16.39,22.81,25.21,23.85,21.36,20.05,19.08,16.21,11.97,10.76,17.82
ALLSKY_SFC_SW_DWN,2017,9.91,15.27,18.48,24.24,24.41,22.05,18.91,19.94,19.67,16.01,9.85,11.34,17.51
ALLSKY_SFC_SW_DWN,2018,11.51,14.64,19.32,22.36,24.09,22.22,19.99,19.79,18.78,15.79,12.42,10.93,17.66
ALLSKY_SFC_SW_DWN,2019,10.12,13.94,17.53,21.52,25.73,24.99,20.47,19.55,18.29,15.27,11.29,8.46,17.27
ALLSKY_SFC_SW_DWN,2020,10.29,15.13,15.09,22.86,25.52,24.27,21.68,18.55,19.49,17.51,11.56,10.79,17.72
ALLSKY_SFC_SW_DWN,2021,11.17,15.33,18.71,22.21,23.66,23.72,20.79,20.6,18.63,16.56,13.07,11.2,17.98
ALLSKY_SFC_SW_DWN,2022,9.66,14.99,19.45,23.75,24.17,24.21,16.07,19.02,18.85,16.54,12.38,10.22,17.44
ALLSKY_SFC_SW_DWN,2023,11.8,14.91,17.07,22.53,23.16,23.76,19.33,20.31,18.97,15.86,10.83,10.47,17.42
ALLSKY_SFC_SW_DWN,2024,6.71,14.36,17.76,21.15,25.81,23.96,19.19,16.72,18.72,16.53,10.81,10.38,16.84
ALLSKY_SFC_SW_DWN,2025,11.52,13.91,20.38,23.5,22.91,21.57,18.52,19.16,-999.0,-999.0,-999.0,-999.0,-999.0
PRECTOTCORR,2000,0.8,0.58,0.35,0.0,0.71,0.68,0.91,0.23,0.62,0.0,0.08,1.12,0.51
PRECTOTCORR,2001,0.56,0.02,0.18,1.8,0.3,1.58,4.51,0.46,1.1,0.04,0.02,0.39,0.92
PRECTOTCORR,2002,0.02,1.73,0.42,0.2,0.39,0.68,0.06,0.29,0.9,0.38,0.27,0.68,0.49
PRECTOTCORR,2003,0.1,1.05,0.2,0.08,0.08,0.12,2.35,0.71,1.21,0.0,0.03,0.1,0.5
PRECTOTCORR,2004,0.56,0.24,0.0,0.22,0.08,1.13,0.84,2.54,1.93,0.23,0.02,0.35,0.68
PRECTOTCORR,2005,0.69,0.86,2.23,0.41,0.55,0.27,3.36,1.45,1.19,0.01,0.06,0.0,0.93
PRECTOTCORR,2006,0.11,0.27,0.81,0.08,1.11,0.94,0.74,1.94,0.7,0.45,0.61,1.5,0.78
PRECTOTCORR,2007,0.11,3.31,1.69,0.08,0.25,3.99,5.21,0.78,1.21,0.0,0.03,0.09,1.38
PRECTOTCORR,2008,0.48,0.31,0.03,2.12,0.74,1.64,2.77,3.12,2.02,0.05,0.0,0.79,1.17
PRECTOTCORR,2009,0.44,0.63,0.63,0.8,0.21,0.14,2.5,1.64,0.86,0.78,0.0,0.02,0.72
PRECTOTCORR,2010,0.25,0.31,0.81,0.09,0.17,1.12,4.66,7.7,1.89,0.0,0.01,0.03,1.44
